City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,11.93,80,25,16.34,SH,1723655582
1,pacific grove,36.6177,-121.9166,19.1,87,20,3.6,US,1723655585
2,queenstown,-31.8976,26.8753,8.94,35,0,6.41,ZA,1723655587
3,adamstown,-25.066,-130.1015,20.95,92,88,5.84,PN,1723655588
4,hadibu,12.65,54.0333,26.2,81,41,6.89,YE,1723655590
5,tura,25.5198,90.2201,25.52,92,98,1.49,IN,1723655591
6,stanley,54.868,-1.6985,20.44,64,20,2.06,GB,1723655592
7,rio gallegos,-51.6226,-69.2181,5.38,64,100,1.91,AR,1723655594
8,port-aux-francais,-49.35,70.2167,2.94,87,70,9.08,TF,1723655595
9,cold lake,54.4502,-110.2017,18.78,62,84,2.08,CA,1723655597
10,fort bragg,35.139,-79.006,29.82,51,0,1.79,US,1723655598
11,bethel,41.3712,-73.414,28.62,58,20,3.6,US,1723655600
12,ribeira grande,38.5167,-28.7,27.22,74,20,4.92,PT,1723655601
13,lata,40.1629,-8.3327,26.62,41,70,4.43,PT,1723655602
14,blackmans bay,-43.0167,147.3167,8.18,93,90,0.45,AU,1723655604
15,hamilton,39.1834,-84.5333,31.11,43,0,3.09,US,1723655605
16,carnarvon,-24.8667,113.6333,19.01,73,0,3.57,AU,1723655607
17,atafu village,-8.5421,-172.5159,28.06,70,9,4.01,TK,1723655608
18,ouesso,1.6136,16.0517,25.31,75,77,1.3,CG,1723655609
19,launceston,-41.45,147.1667,9.8,100,100,2.57,AU,1723655611
20,minab,27.1467,57.0801,31.45,69,14,1.82,IR,1723655612
21,cassilandia,-19.1133,-51.7342,32.62,10,10,2.43,BR,1723655614
22,dakhla,23.6848,-15.958,25.01,69,9,13.38,EH,1723655615
23,invercargill,-46.4,168.35,11.12,69,100,4.92,NZ,1723655617
24,alofi,-19.0595,-169.9187,18.94,88,75,2.06,NU,1723655618
25,port elizabeth,-33.918,25.5701,14.5,64,75,13.89,ZA,1723655619
